id,key,value,type
125094722,highway,motorway_junction,regular
125094722,ref,38,regular
125095743,design,guyed_v-frame,regular
125095743,power,tower,regular
125095746,design,guyed_v-frame,regular
125095746,power,tower,regular
125095748,design,guyed_v-frame,regular
125095748,power,tower,regular
125095751,design,guyed_v-frame,regular
125095751,power,tower,regular
125095754,design,guyed_v-frame,regular
125095754,power,tower,regular
125095759,design,guyed_v-frame,regular
125095759,power,tower,regular
125095765,design,guyed_v-frame,regular
125095765,power,tower,regular
125095767,design,guyed_v-frame,regular
125095767,power,tower,regular
125095770,design,guyed_v-frame,regular
125095770,power,tower,regular
125095772,design,guyed_v-frame,regular
125095772,power,tower,regular
125095782,design,guyed_v-frame,regular
125095782,power,tower,regular
125095783,design,guyed_v-frame,regular
125095783,power,tower,regular
125095785,design,monopolar,regular
125095785,power,tower,regular
125095787,design,guyed_v-frame,regular
125095787,power,tower,regular
125095789,design,guyed_v-frame,regular
125095789,power,tower,regular
125095790,design,guyed_v-frame,regular
125095790,power,tower,regular
125095794,design,guyed_v-frame,regular
125095794,power,tower,regular
125095795,design,guyed_v-frame,regular
125095795,power,tower,regular
125095797,design,h-frame,regular
125095797,power,tower,regular
125095799,design,guyed_v-frame,regular
125095799,power,tower,regular
125095801,design,guyed_v-frame,regular
125095801,power,tower,regular
125095810,design,guyed_v-frame,regular
125095810,power,tower,regular
125095812,design,guyed_v-frame,regular
125095812,power,tower,regular
125095814,design,guyed_v-frame,regular
125095814,power,tower,regular
125095816,design,guyed_v-frame,regular
125095816,power,tower,regular
125095819,design,guyed_v-frame,regular
125095819,power,tower,regular
125095821,design,guyed_v-frame,regular
125095821,power,tower,regular
125095822,design,guyed_v-frame,regular
125095822,power,tower,regular
125095824,design,monopolar,regular
125095824,power,tower,regular
125095826,design,guyed_v-frame,regular
125095826,power,tower,regular
125097766,railway,level_crossing,regular
125097768,railway,level_crossing,regular
125097804,railway,level_crossing,regular
125097812,railway,level_crossing,regular
125097937,highway,traffic_signals,regular
125097937,traffic_signals,signal,regular
125100341,highway,motorway_junction,regular
125100341,ref,1D,regular
125103056,highway,turning_circle,regular
125103153,highway,traffic_signals,regular
125103461,highway,motorway_junction,regular
125103461,ref,4B,regular
125103659,highway,motorway_junction,regular
125103659,ref,46B,regular
125103724,destination,Gulfport;New Orleans,regular
125103724,highway,motorway_junction,regular
125103724,ref,4C,regular
125107034,highway,traffic_signals,regular
125107034,traffic_signals,signal,regular
125107085,highway,traffic_signals,regular
